,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Liverpool,Leicester City,H,68.61,19.70,40.60,2.18,0.91,3.08
West Ham United,Crystal Palace,H,47.13,27.73,32.48,1.60,1.16,2.76
Watford,Sheffield United,H,45.65,28.36,30.08,1.53,1.21,2.73
Norwich City,Aston Villa,H,42.83,27.72,25.54,1.69,1.39,3.08
Everton,Burnley,A,38.97,28.78,29.60,1.36,1.24,2.60
Burnley,Everton,H,32.25,28.78,25.89,1.24,1.36,2.60
Aston Villa,Norwich City,A,29.45,27.72,18.03,1.39,1.69,3.08
Sheffield United,Watford,A,25.99,28.36,22.29,1.21,1.53,2.73
Crystal Palace,West Ham United,A,25.14,27.73,20.28,1.16,1.60,2.76
Leicester City,Liverpool,A,11.69,19.70,8.94,0.91,2.18,3.08
