,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Manchester City,Manchester United,H,72.43,17.11,42.92,2.26,0.87,3.13
Tottenham Hotspur,Burnley,H,68.92,19.27,40.23,2.13,0.93,3.06
Liverpool,AFC Bournemouth,A,67.64,19.73,37.36,2.21,1.00,3.21
Watford,Crystal Palace,H,41.40,28.85,32.03,1.40,1.17,2.57
Crystal Palace,Watford,A,29.75,28.85,24.38,1.17,1.40,2.57
AFC Bournemouth,Liverpool,H,12.63,19.73,8.99,1.00,2.21,3.21
Burnley,Tottenham Hotspur,A,11.81,19.27,10.03,0.93,2.13,3.06
Manchester United,Manchester City,A,10.46,17.11,8.74,0.87,2.26,3.13
