,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Manchester City,Everton,H,76.66,14.67,41.00,2.46,0.92,3.38
Leicester City,Newcastle United,A,60.61,22.68,41.15,1.86,0.92,2.78
West Ham United,AFC Bournemouth,H,48.65,25.67,29.39,1.73,1.26,2.99
Tottenham Hotspur,Southampton,A,45.43,26.50,25.58,1.67,1.37,3.04
Wolverhampton,Watford,A,41.93,28.59,30.84,1.41,1.19,2.60
Norwich City,Crystal Palace,H,40.07,28.54,29.36,1.38,1.24,2.63
Crystal Palace,Norwich City,A,31.39,28.54,25.03,1.24,1.38,2.63
Watford,Wolverhampton,H,29.48,28.59,24.38,1.19,1.41,2.60
Southampton,Tottenham Hotspur,H,28.06,26.50,18.76,1.37,1.67,3.04
AFC Bournemouth,West Ham United,A,25.67,25.67,16.87,1.26,1.73,2.99
Newcastle United,Leicester City,H,16.71,22.68,14.60,0.92,1.86,2.78
Everton,Manchester City,A,8.67,14.67,6.30,0.92,2.46,3.38
