,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Liverpool,Brighton & Hove Albion,H,78.09,13.39,51.31,2.36,0.69,3.06
Chelsea,West Ham United,H,70.72,19.85,39.05,2.28,0.95,3.23
Tottenham Hotspur,AFC Bournemouth,H,62.73,20.91,34.06,2.07,1.08,3.15
Southampton,Watford,H,44.74,27.63,29.60,1.53,1.24,2.77
Burnley,Crystal Palace,H,42.83,29.45,34.06,1.36,1.08,2.44
Crystal Palace,Burnley,A,27.72,29.45,25.89,1.08,1.36,2.44
Watford,Southampton,A,27.63,27.63,22.29,1.24,1.53,2.77
AFC Bournemouth,Tottenham Hotspur,A,16.36,20.91,11.26,1.08,2.07,3.15
West Ham United,Chelsea,A,9.43,19.85,7.91,0.95,2.28,3.23
Brighton & Hove Albion,Liverpool,A,8.52,13.39,7.94,0.69,2.36,3.06
