Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Calum Chambers (14050830),Calum Chambers,14050830,D/UTIL,3300,ARS vs CHE 09:00AM ET,ARS,6.11
D,Antonio Rudiger (14050832),Antonio Rudiger,14050832,D/UTIL,3300,ARS vs CHE 09:00AM ET,CHE,4.29
M,Robbie Burton (14051006),Robbie Burton,14051006,M/UTIL,3300,ARS vs CHE 09:00AM ET,ARS,0
D,Dejan Lovren (14050836),Dejan Lovren,14050836,D/UTIL,3300,LIV vs WOL 11:30AM ET,LIV,4.58
D,Oskar Buur (14050838),Oskar Buur,14050838,D/UTIL,3300,LIV vs WOL 11:30AM ET,WOL,0
M,Meritan Shabani (14051002),Meritan Shabani,14051002,M/UTIL,3300,LIV vs WOL 11:30AM ET,WOL,0
D,Eric Garcia (14050834),Eric Garcia,14050834,D/UTIL,3300,MCI vs SHU 01:00PM ET,MCI,0.61
D,Jack O'Connell (14050840),Jack O'Connell,14050840,D/UTIL,3300,MCI vs SHU 01:00PM ET,SHU,5.44
M,Ravel Morrison (14051004),Ravel Morrison,14051004,M/UTIL,3300,MCI vs SHU 01:00PM ET,SHU,0.6
D,Tolaji Bola (14050842),Tolaji Bola,14050842,D/UTIL,3200,ARS vs CHE 09:00AM ET,ARS,0
D,Marc Guehi (14050844),Marc Guehi,14050844,D/UTIL,3200,ARS vs CHE 09:00AM ET,CHE,0
D,Neco Williams (14050848),Neco Williams,14050848,D/UTIL,3200,LIV vs WOL 11:30AM ET,LIV,0
D,Ruben Vinagre (14050850),Ruben Vinagre,14050850,D/UTIL,3200,LIV vs WOL 11:30AM ET,WOL,2.54
M,Luis Longstaff (14051008),Luis Longstaff,14051008,M/UTIL,3200,LIV vs WOL 11:30AM ET,LIV,0
M,Taylor Perry (14051010),Taylor Perry,14051010,M/UTIL,3200,LIV vs WOL 11:30AM ET,WOL,0
M,Luke Cundle (14051012),Luke Cundle,14051012,M/UTIL,3200,LIV vs WOL 11:30AM ET,WOL,0
D,Taylor Harwood-Bellis (14050846),Taylor Harwood-Bellis,14050846,D/UTIL,3200,MCI vs SHU 01:00PM ET,MCI,0
D,Kieron Freeman (14050852),Kieron Freeman,14050852,D/UTIL,3200,MCI vs SHU 01:00PM ET,SHU,0
D,David Luiz (14050854),David Luiz,14050854,D/UTIL,3100,ARS vs CHE 09:00AM ET,ARS,4.9
D,Andreas Christensen (14050856),Andreas Christensen,14050856,D/UTIL,3100,ARS vs CHE 09:00AM ET,CHE,3.3
M,James Olayinka (14051016),James Olayinka,14051016,M/UTIL,3100,ARS vs CHE 09:00AM ET,ARS,0
