Salary,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P,Player,Points,Percentage,Total_Kicks,Win %,D,F,M,M/F,LIV,LEI,MCI,CHE,MUN,WLV,TOT,SHU,ARS,CRY,NEW,BHA,BUR,EVE,BOU,WHU,AVL,SOU,NOR,WAT
9000,0.89,0.16,2.58,1.53,0.05,0.95,0.63,0.42,0.74,0.37,12.16,Jamie Vardy,0.0,64.29,0.0,60.61,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9700,0.28,0.17,2.58,0.67,0.45,8.01,2.58,1.01,1.4,3.25,49.26,James Maddison,0.0,32.26,6.0476190476190474,60.61,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7200,0.18,0.12,2.57,1.1,1.04,4.96,2.14,0.74,1.16,0.92,31.31,Gerard Deulofeu,0.0,31.25,2.5714285714285716,29.48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7300,0.39,0.1,2.53,0.88,0.78,1.07,1.27,0.88,0.88,1.85,30.49,Lucas Moura,0.0,35.71,0.19047619047619047,45.43,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6100,0.32,0.06,2.44,1.09,0.45,0.19,0.83,0.58,1.54,1.48,30.28,Sebastien Haller,0.0,44.44,0.0,48.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4700,0.0,0.32,2.41,0.96,0.32,3.05,1.76,0.96,3.53,2.41,33.85,Sofiane Boufal,0.0,17.24,0.047619047619047616,28.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5400,0.0,0.18,2.36,0.91,0.0,0.73,1.45,0.18,1.45,1.45,26.73,Shane Long,0.0,30.3,0.0,28.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4900,0.78,0.0,2.35,0.78,0.0,0.78,0.0,0.0,0.0,1.57,19.57,Josip Drmic,0.0,0.0,0.0,40.07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3800,0.26,0.0,2.31,0.77,0.13,0.39,1.28,0.39,0.9,0.13,17.33,Andre Gray,0.0,31.25,0.0,29.48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6700,0.27,0.53,2.3,0.71,0.53,1.86,2.21,0.71,1.06,0.88,65.75,David Silva,0.0,31.25,0.14285714285714285,76.66,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8400,0.38,0.31,2.29,0.84,1.3,3.36,1.98,0.84,1.3,1.22,60.03,Bernardo Silva,0.0,37.74,0.7142857142857143,76.66,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7800,0.2,0.2,2.23,0.81,1.02,5.79,1.83,0.61,0.91,0.51,54.55,Christian Eriksen,0.0,27.78,2.1904761904761907,45.43,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4400,0.0,0.0,2.21,0.88,1.55,1.33,0.44,0.0,0.0,0.88,34.72,Arnaut Danjuma Groeneveld,0.0,0.0,0.0,25.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5700,0.33,0.11,2.17,0.98,0.43,1.52,1.63,0.76,1.52,0.87,33.59,Andriy Yarmolenko,0.0,37.04,0.0,48.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4800,0.0,0.0,2.14,0.86,0.0,0.0,0.86,1.29,0.86,0.86,19.29,Danny Welbeck,0.0,0.0,0.0,29.48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6600,0.44,0.0,2.09,0.7,1.48,3.58,1.83,0.7,0.7,0.44,38.37,Jonjo Shelvey,0.0,16.67,1.9047619047619047,16.71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4700,0.14,0.0,2.09,0.56,0.97,2.36,1.81,1.25,0.97,0.42,40.76,Tom Cleverley,0.0,0.0,0.19047619047619047,29.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4000,0.0,0.0,2.09,0.52,0.42,0.21,1.04,0.31,0.73,1.25,24.92,Dominic Solanke,0.0,31.25,0.0,25.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5900,0.35,0.26,2.0,0.95,0.78,1.56,1.04,1.04,0.95,1.39,32.37,Ayoze Perez,0.0,34.48,0.0,60.61,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4800,0.25,0.25,1.99,1.0,1.0,3.24,1.75,1.5,0.25,1.5,39.39,Demarai Gray,0.0,30.3,0.047619047619047616,60.61,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5300,0.0,0.54,1.99,0.36,0.18,0.72,1.63,0.54,1.63,2.35,28.79,Andy Carroll,0.0,21.28,0.0,16.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4600,0.0,0.0,1.99,0.28,0.28,1.14,1.0,0.0,1.14,0.71,18.48,Che Adams,0.0,25.0,0.0,28.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6900,0.37,0.0,1.98,0.87,0.62,0.0,0.87,0.62,1.49,1.61,24.05,Troy Deeney,0.0,31.25,0.0,29.48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4700,0.11,0.0,1.98,0.99,0.33,2.52,1.43,0.22,0.77,1.87,16.35,Allan Saint-Maximin,0.0,0.0,0.0,16.71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6500,0.06,0.06,1.97,0.7,0.95,5.71,2.22,1.21,1.01,0.76,31.78,Gylfi Sigurdsson,0.0,21.28,3.1904761904761907,8.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4900,0.12,0.0,1.95,0.65,0.35,1.24,0.95,0.89,0.95,0.83,31.46,Nathan Redmond,0.0,23.26,0.0,28.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6400,0.16,0.0,1.95,0.32,1.46,1.62,1.87,0.49,0.81,0.57,80.91,Ilkay Gundogan,0.0,25.64,0.7142857142857143,76.66,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,0.16,0.16,1.89,0.38,0.75,2.05,1.51,0.54,0.92,1.29,53.44,Youri Tielemans,0.0,28.57,0.6666666666666666,60.61,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7100,0.29,0.14,1.88,0.72,0.58,5.92,2.02,1.59,1.59,1.44,40.74,Erik Lamela,0.0,22.73,1.619047619047619,45.43,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4700,0.0,0.63,1.88,0.31,0.94,4.06,1.56,0.31,0.63,0.63,35.31,Pedro Neto,0.0,29.41,0.047619047619047616,41.93,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5500,0.06,0.06,1.87,0.45,0.96,0.96,0.68,1.25,0.85,1.81,22.78,Miguel Almiron,0.0,16.95,0.0,16.71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4600,0.12,0.06,1.85,0.35,1.39,1.33,0.92,0.64,0.92,0.46,57.67,Ruben Neves,0.0,15.38,0.5238095238095238,41.93,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7400,0.5,0.25,1.84,1.09,0.92,0.5,1.34,0.75,0.34,1.42,40.98,Dele Alli,0.0,35.09,0.14285714285714285,45.43,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5900,0.31,0.15,1.84,0.77,0.92,1.84,0.92,2.15,2.15,3.23,22.12,Moussa Djenepo,0.0,20.0,0.0,28.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5000,0.13,0.13,1.78,0.64,1.14,2.42,1.4,1.02,0.64,1.02,20.47,Onel Hernandez,0.0,23.26,0.047619047619047616,40.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5000,0.06,0.12,1.77,0.53,0.53,0.18,1.3,0.41,0.95,1.12,27.48,Joelinton,0.0,20.83,0.0,16.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5800,0.28,0.06,1.76,0.63,0.28,0.4,0.85,0.85,1.59,2.62,23.4,Jordan Ayew,0.0,34.48,0.0,31.39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4000,0.0,0.0,1.76,0.59,0.49,0.39,0.98,0.59,1.66,1.27,31.82,Marco Stiepermann,0.0,15.38,0.0,40.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3300,0.05,0.0,1.74,0.33,0.92,0.6,1.09,1.09,1.25,0.38,53.46,Abdoulaye Doucoure,0.0,14.29,0.0,29.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7600,0.2,0.1,1.7,0.8,1.2,6.65,1.55,0.95,1.35,1.05,40.1,James Ward-Prowse,0.0,29.41,5.476190476190476,28.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5500,0.0,0.0,1.68,0.34,0.67,1.68,1.68,1.68,1.68,3.36,50.71,Giovani Lo Celso,0.0,21.74,0.19047619047619047,45.43,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4600,0.09,0.0,1.64,0.78,0.43,2.41,1.38,1.21,0.43,0.34,31.44,Alex Iwobi,0.0,0.0,0.047619047619047616,8.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5200,0.0,0.22,1.62,0.32,0.54,3.46,2.81,0.43,0.22,1.62,54.67,Manuel Lanzini,0.0,24.39,1.4285714285714286,48.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4200,0.0,0.05,1.59,0.27,1.48,0.77,1.26,1.76,1.7,1.21,59.98,Pierre-Emile Hojbjerg,0.0,14.29,0.0,28.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6300,0.33,0.13,1.57,0.85,0.78,0.72,1.37,0.85,1.24,2.22,38.69,Todd Cantwell,0.0,28.57,0.2857142857142857,40.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6100,0.16,0.05,1.56,0.47,0.57,1.45,0.99,0.73,1.61,3.37,30.5,Wilfried Zaha,0.0,31.25,0.0,31.39,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5200,0.29,0.0,1.52,0.64,0.18,0.88,1.11,0.29,1.75,0.88,14.09,Callum Wilson,0.0,39.22,0.0,25.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3700,0.0,0.0,1.51,0.25,1.01,1.26,0.25,1.76,1.01,1.26,23.13,Max Meyer,0.0,17.86,0.0,31.39,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8800,0.24,0.24,1.51,0.42,0.6,5.97,1.51,1.21,1.21,2.59,26.36,Adama Traore,0.0,22.73,0.0,41.93,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600,0.09,0.27,1.5,0.44,0.8,3.1,1.15,1.42,0.8,0.62,34.87,Pablo Fornals,0.0,24.39,0.6666666666666666,48.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3300,0.0,0.0,1.5,0.0,1.5,1.5,2.25,0.0,1.5,0.75,51.0,Morgan Gibbs-White,0.0,0.0,0.0,41.93,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3800,0.21,0.1,1.47,0.84,1.05,0.73,0.73,0.94,1.47,1.15,27.14,Jeffrey Schlupp,0.0,0.0,0.0,31.39,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4500,0.1,0.0,1.44,0.41,0.72,1.44,1.54,0.41,0.72,2.16,38.31,Roberto Pereyra,0.0,20.41,0.5238095238095238,29.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4000,0.45,0.0,1.36,0.45,1.82,0.0,0.68,1.14,2.5,1.59,37.05,Dan Gosling,0.0,19.23,0.0,25.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5600,0.0,0.3,1.36,0.53,1.44,2.2,1.67,2.12,0.91,1.44,57.6,Felipe Anderson,0.0,23.81,0.14285714285714285,48.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5100,0.0,0.0,1.36,0.45,1.13,3.17,1.13,2.27,0.91,0.91,71.64,Joao Cancelo,0.0,13.33,0.0,76.66,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600,0.0,0.0,1.32,0.26,0.79,3.18,1.72,1.85,1.06,0.13,83.78,Oleksandr Zinchenko,0.0,20.41,0.047619047619047616,76.66,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4400,0.0,0.11,1.3,0.43,1.3,2.49,1.3,1.08,0.97,1.73,39.86,Sean Longstaff,0.0,10.53,0.8571428571428571,16.71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5100,0.0,0.25,1.27,0.51,1.02,6.88,2.55,1.27,1.02,1.53,49.21,Marc Albrighton,0.0,19.61,0.09523809523809523,60.61,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7100,0.29,0.1,1.27,0.59,0.39,9.1,2.25,0.78,1.47,2.15,33.55,Robert Snodgrass,0.0,31.25,2.9047619047619047,48.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6900,0.07,0.2,1.24,0.46,0.52,7.79,1.57,0.26,0.52,1.57,32.49,Ryan Fraser,0.0,19.23,2.9523809523809526,25.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3500,0.0,0.0,1.23,1.23,0.62,0.0,0.0,0.0,0.62,0.0,44.38,Wes Morgan,0.0,10.0,0.0,60.61,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400,0.0,0.0,1.21,0.11,2.2,0.44,0.11,1.43,0.99,0.55,42.3,Sam Byram,0.0,3.57,0.0,40.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4900,0.2,0.0,1.21,0.6,1.48,1.68,0.54,0.6,0.74,0.4,46.28,Matt Doherty,0.0,20.0,0.0,41.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300,0.06,0.0,1.2,0.13,1.2,0.7,0.38,0.95,0.82,0.95,29.79,Cheikhou Kouyate,0.0,11.76,0.0,31.39,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8100,0.0,0.36,1.2,0.3,0.9,6.58,3.41,1.26,1.02,1.86,52.54,Emiliano Buendia,0.0,16.67,4.619047619047619,40.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4200,0.0,0.0,1.18,0.0,0.0,0.0,0.0,1.18,0.59,0.0,15.99,Dwight Gayle,0.0,24.39,0.0,16.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3900,0.18,0.0,1.18,0.45,1.18,0.0,0.18,0.72,1.27,0.18,75.44,Nicolas Otamendi,0.0,16.67,0.0,76.66,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2700,0.0,0.0,1.17,0.41,1.29,0.18,0.29,0.82,0.82,0.35,48.3,Yerry Mina,0.0,7.14,0.0,8.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4800,0.21,0.14,1.17,0.62,0.41,0.62,1.24,0.34,1.51,1.37,22.12,Joshua King,0.0,36.36,0.047619047619047616,25.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3800,0.08,0.08,1.16,0.15,1.32,1.7,0.77,1.86,1.94,1.94,31.52,Will Hughes,0.0,15.38,0.6190476190476191,29.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4200,0.15,0.0,1.13,0.3,2.4,0.68,0.23,1.43,1.58,1.13,38.01,Fabian Schar,0.0,9.52,0.0,16.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4000,0.0,0.16,1.12,0.0,1.12,1.93,0.8,1.76,1.44,0.96,42.67,Dennis Praet,0.0,16.67,0.0,60.61,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5800,0.11,0.05,1.11,0.37,1.7,5.78,1.27,1.17,1.86,0.74,49.46,Luka Milivojevic,0.0,28.57,5.142857142857143,31.39,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4300,0.06,0.06,1.1,0.43,1.1,2.37,0.85,1.03,0.91,2.25,50.81,Kenny McLean,0.0,16.67,1.0476190476190477,40.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3900,0.15,0.0,1.07,0.54,1.3,0.46,0.54,0.84,1.76,0.84,51.43,Romain Saiss,0.0,11.76,0.0,41.93,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5500,0.0,0.0,1.07,0.0,1.92,9.17,1.92,0.43,0.43,0.43,72.09,Angelino,0.0,11.76,0.0,76.66,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3800,0.0,0.0,1.05,0.0,1.18,0.66,0.92,1.18,1.05,1.32,74.08,Moritz Leitner,0.0,6.67,0.0,40.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4800,0.23,0.12,1.04,0.46,1.28,1.04,1.28,1.74,1.28,2.2,54.28,Tanguy Ndombele,0.0,15.38,0.23809523809523808,45.43,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
