,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Chelsea,Newcastle United,H,73.20,17.29,46.34,2.24,0.79,3.02
Tottenham Hotspur,Watford,H,68.18,19.09,37.82,2.16,0.97,3.13
Leicester City,Burnley,H,64.80,20.80,44.12,1.82,0.85,2.68
AFC Bournemouth,Norwich City,H,54.30,23.41,25.89,2.00,1.36,3.36
Wolverhampton,Southampton,H,53.51,24.92,39.63,1.60,0.95,2.55
Aston Villa,Brighton & Hove Albion,H,39.44,28.33,26.09,1.45,1.35,2.80
Brighton & Hove Albion,Aston Villa,A,32.23,28.33,23.68,1.35,1.45,2.80
Norwich City,AFC Bournemouth,A,22.30,23.41,12.78,1.36,2.00,3.36
Southampton,Wolverhampton,A,21.58,24.92,20.43,0.95,1.60,2.55
Burnley,Leicester City,A,14.40,20.80,15.09,0.85,1.82,2.68
Watford,Tottenham Hotspur,A,12.73,19.09,9.83,0.97,2.16,3.13
Newcastle United,Chelsea,A,9.51,17.29,8.93,0.79,2.24,3.02
