,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Wolverhampton,Norwich City,A,48.31,26.20,30.95,1.64,1.18,2.83
Brighton & Hove Albion,Sheffield United,H,44.13,28.75,32.19,1.47,1.16,2.63
Newcastle United,Crystal Palace,H,40.41,31.66,35.78,1.22,1.06,2.27
AFC Bournemouth,Burnley,H,40.07,28.54,29.57,1.36,1.24,2.60
Aston Villa,Southampton,H,38.83,27.18,21.34,1.63,1.53,3.15
Southampton,Aston Villa,A,33.98,27.18,19.42,1.53,1.63,3.15
Burnley,AFC Bournemouth,A,31.39,28.54,25.68,1.24,1.36,2.60
Crystal Palace,Newcastle United,A,27.93,31.66,30.05,1.06,1.22,2.27
Sheffield United,Brighton & Hove Albion,A,27.11,28.75,22.95,1.16,1.47,2.63
Norwich City,Wolverhampton,H,25.49,26.20,19.15,1.18,1.64,2.83
