,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Chelsea,Brighton & Hove Albion,H,68.04,20.05,40.60,2.06,0.91,2.96
Tottenham Hotspur,Southampton,H,68.04,20.05,39.05,2.12,0.95,3.07
Wolverhampton,Watford,H,49.08,29.28,35.77,1.62,1.03,2.65
Crystal Palace,Norwich City,H,48.08,25.96,29.60,1.72,1.24,2.96
Aston Villa,Burnley,H,41.88,27.72,27.68,1.45,1.29,2.75
AFC Bournemouth,West Ham United,H,38.35,26.85,20.78,1.60,1.57,3.17
West Ham United,AFC Bournemouth,A,34.80,26.85,20.28,1.57,1.60,3.17
Burnley,Aston Villa,A,30.40,27.72,23.68,1.29,1.45,2.75
Norwich City,Crystal Palace,A,25.96,25.96,17.73,1.24,1.72,2.96
Watford,Wolverhampton,A,21.64,29.28,19.67,1.03,1.62,2.65
Southampton,Tottenham Hotspur,A,11.91,20.05,9.89,0.95,2.12,3.07
Brighton & Hove Albion,Chelsea,A,11.91,20.05,11.13,0.91,2.06,2.96
