Salary,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P,Player,Points,Percentage,Total_Kicks,Win %,D,F,M,M/F,LIV,LEI,MCI,CHE,MUN,WLV,TOT,SHU,ARS,CRY,NEW,BHA,BUR,EVE,BOU,WHU,AVL,SOU,NOR,WAT
4400,0.0,0.0,1.76,0.0,0.88,4.41,0.0,0.0,1.76,0.0,42.35,Daryl Janmaat,0.0,0.0,0.0,5.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4800,0.0,0.0,1.75,0.35,0.0,0.7,0.7,0.0,2.8,2.1,19.61,Glenn Murray,0.0,33.33,0.0,31.37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3400,0.0,0.0,1.75,0.75,1.0,0.0,0.25,0.0,1.25,0.0,83.0,Nicolas Otamendi,16.4,0.0,0.0,85.13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4500,0.28,0.0,1.71,0.57,0.28,0.28,0.28,0.28,2.28,1.14,16.8,Dominic Calvert-Lewin,0.0,34.84,0.0,59.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5700,0.0,0.42,1.66,0.21,1.04,7.69,2.49,1.25,1.87,0.83,45.94,Lucas Digne,15.9,0.0,2.8333333333333335,59.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7300,0.0,0.2,1.64,0.0,0.82,6.95,0.82,1.02,0.61,1.23,17.39,Dwight McNeil,14.9,25.0,2.8333333333333335,47.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3900,0.0,0.0,1.62,0.69,0.93,0.23,0.46,0.69,1.62,1.39,33.55,Marco Stiepermann,3.5,0.0,0.0,25.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7200,0.4,0.0,1.6,0.4,0.8,0.4,0.8,1.2,2.0,0.4,23.6,Oliver McBurnie,0.2,0.0,0.0,15.63,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4200,0.0,0.2,1.6,0.4,1.0,1.2,0.6,1.8,1.2,0.6,49.8,Davy Propper,6.6,0.0,0.0,31.37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5300,0.0,0.0,1.5,1.0,0.0,0.0,1.0,1.0,1.5,1.0,24.0,Troy Deeney,0.0,0.0,0.0,5.51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4300,0.25,0.25,1.48,0.25,1.73,1.23,1.23,1.48,1.73,2.71,32.3,Will Hughes,2.1,0.0,0.0,5.51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6300,0.0,1.14,1.42,0.57,0.57,1.7,1.99,0.85,0.85,0.57,63.88,David Silva,20.3,38.46,0.0,85.13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6600,0.0,0.0,1.36,0.45,0.0,0.45,0.68,0.0,0.45,0.45,15.87,Chris Wood,29.9,41.67,0.0,47.13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5900,0.0,0.0,1.26,0.0,0.63,1.26,0.42,0.42,0.63,1.9,23.4,Miguel Almiron,9.6,29.41,0.0,39.22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3400,0.21,0.0,1.24,0.41,2.9,0.0,0.0,1.45,1.03,1.24,39.93,Fabian Schar,4.9,0.0,0.0,39.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2500,0.0,0.0,1.2,0.2,1.0,0.0,0.0,0.8,1.6,0.2,43.6,Craig Dawson,1.3,0.0,0.0,5.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4500,0.0,0.0,1.2,0.4,0.6,2.8,1.4,1.2,1.0,0.2,78.6,Oleksandr Zinchenko,0.0,0.0,0.0,85.13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6700,0.39,0.0,1.18,0.39,1.58,5.92,2.76,0.0,0.39,0.39,15.39,Johann Berg Gudmundsson,0.0,0.0,1.0,47.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5500,0.0,0.0,1.14,0.0,2.28,2.28,1.9,1.52,0.38,0.38,64.18,Ilkay Gundogan,0.0,26.67,1.1666666666666667,85.13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4800,0.21,0.0,1.07,0.43,1.93,2.14,0.86,0.64,0.86,0.21,47.79,John Lundstram,8.4,0.0,0.0,15.63,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5300,0.0,0.21,1.06,0.63,1.48,4.23,1.48,1.06,0.42,0.42,39.3,Solomon March,0.0,0.0,0.8333333333333334,31.37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4500,0.41,0.41,1.03,0.62,0.82,0.0,1.85,0.62,0.82,1.85,35.96,Todd Cantwell,9.5,0.0,0.0,25.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4100,0.0,0.34,1.03,0.68,0.68,1.37,1.37,1.37,1.03,0.68,40.38,Sean Longstaff,0.0,0.0,0.5,39.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4100,0.0,0.0,1.02,0.25,3.57,0.0,0.25,1.27,2.29,2.04,59.92,Etienne Capoue,3.8,0.0,0.0,5.51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6200,0.0,0.81,1.02,0.61,0.41,5.28,2.64,0.81,1.02,1.02,47.54,Emiliano Buendia,7.7,25.0,3.8333333333333335,25.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3500,0.0,0.2,1.0,0.2,1.8,0.8,0.6,1.8,0.6,1.0,28.4,Isaac Hayden,3.6,0.0,0.0,39.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6900,0.0,0.0,1.0,0.33,1.67,7.67,2.33,1.33,1.67,1.33,34.33,Matt Ritchie,0.0,0.0,2.3333333333333335,39.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4000,0.0,0.0,1.0,0.2,1.6,0.6,0.2,0.6,0.4,0.8,46.6,Jack O'Connell,5.0,0.0,0.0,15.63,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,0.0,0.0,1.0,0.2,1.4,0.2,0.2,1.4,1.2,1.2,31.8,James Tarkowski,7.3,0.0,0.0,47.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2500,0.0,0.0,1.0,0.4,1.8,0.4,0.0,0.8,0.4,0.2,56.0,Yerry Mina,3.1,0.0,0.0,59.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3500,0.0,0.0,0.99,0.0,4.95,0.0,0.0,1.98,0.99,1.98,28.68,Sam Byram,5.2,0.0,0.0,25.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4100,0.33,0.0,0.98,0.33,0.33,1.96,1.31,1.64,1.96,0.98,31.09,Bernard,1.6,0.0,0.0,59.69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8000,0.0,0.0,0.98,0.0,0.0,6.22,3.93,0.98,0.98,0.98,50.07,Pascal Gross,9.6,0.0,2.0,31.37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4400,0.24,0.0,0.95,0.71,0.95,0.0,1.42,1.66,1.66,0.95,73.89,Rodri,8.7,0.0,0.0,85.13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4800,0.42,0.0,0.83,0.42,0.42,2.08,0.83,1.67,0.0,1.25,35.0,Jetro Willems,3.4,0.0,0.0,39.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3100,0.0,0.0,0.83,0.0,0.83,2.22,0.0,0.83,0.28,0.28,20.77,Emil Krafth,0.0,0.0,0.0,39.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4400,0.0,0.0,0.74,0.0,2.98,4.46,0.74,1.49,1.49,1.86,33.47,Luke Freeman,0.0,0.0,1.0,15.63,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3000,0.0,0.0,0.67,0.33,1.0,0.0,0.0,0.67,0.67,0.67,47.67,Grant Hanley,0.0,0.0,0.0,25.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4600,0.0,0.0,0.62,0.21,1.44,0.21,0.21,2.05,1.44,0.62,55.07,Dale Stephens,8.2,0.0,0.0,31.37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3600,0.0,0.0,0.62,0.21,1.23,0.0,0.41,1.23,0.62,0.82,27.33,Jack Cork,7.6,0.0,0.0,47.13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4000,0.0,0.0,0.6,0.0,0.4,2.8,1.8,0.8,1.4,1.2,38.8,Ashley Westwood,16.2,0.0,1.3333333333333333,47.13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3800,0.0,0.4,0.6,0.0,1.8,1.4,0.8,3.2,0.6,1.4,36.6,Erik Pieters,12.0,0.0,0.0,47.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3200,0.0,0.0,0.6,0.2,1.6,0.0,0.4,0.6,0.2,1.0,33.8,Ben Mee,4.4,0.0,0.0,47.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3600,0.0,0.0,0.6,0.2,1.4,3.0,0.6,0.6,1.0,0.8,48.2,Seamus Coleman,6.3,0.0,0.0,59.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5000,0.0,0.2,0.6,0.0,0.6,2.6,0.8,1.8,1.8,0.0,41.0,Enda Stevens,9.6,0.0,0.0,15.63,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5600,0.0,0.0,0.6,0.2,1.8,6.4,2.6,1.4,1.4,1.2,60.2,Oliver Norwood,1.9,0.0,3.8333333333333335,15.63,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5400,0.0,0.2,0.6,0.2,1.0,3.8,0.6,1.4,1.6,1.2,31.0,George Baldock,3.7,0.0,0.0,15.63,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3800,0.0,0.0,0.6,0.0,1.2,3.2,1.6,1.2,0.6,0.2,43.6,Kiko Femenia,2.1,0.0,0.16666666666666666,5.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3400,0.0,0.0,0.55,0.0,1.1,0.0,0.27,2.74,2.74,0.82,58.17,Tom Trybull,0.0,0.0,0.0,25.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5100,0.0,0.0,0.52,0.26,0.26,8.28,1.29,1.81,1.81,0.26,43.97,Jose Holebas,1.4,0.0,4.0,5.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2500,0.0,0.0,0.5,0.0,2.5,0.0,0.0,1.0,0.5,0.0,26.0,Christian Kabasele,0.0,0.0,0.0,5.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3200,0.0,0.0,0.5,0.0,0.5,0.75,0.5,1.5,1.0,1.25,36.25,Max Aarons,0.0,0.0,0.0,25.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3800,0.0,0.0,0.46,0.0,0.91,0.91,0.0,1.37,1.83,1.37,16.45,Aaron Lennon,0.1,0.0,0.0,47.13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4200,0.45,0.0,0.45,0.45,1.79,1.34,0.9,1.34,0.45,1.79,42.09,Kenny McLean,4.7,0.0,0.0,25.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3800,0.0,0.0,0.43,0.0,1.51,0.86,0.43,1.08,0.65,0.65,37.03,Chris Basham,10.2,0.0,0.0,15.63,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2600,0.0,0.0,0.41,0.0,2.24,0.0,0.2,0.0,0.61,0.41,29.32,Jamaal Lascelles,4.4,0.0,0.0,39.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4000,0.0,0.2,0.4,0.0,0.2,1.2,0.8,0.8,1.2,0.4,70.76,Kyle Walker,3.4,0.0,0.0,85.13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,0.0,0.0,0.4,0.4,1.6,0.2,0.0,1.6,0.4,0.4,33.4,Paul Dummett,6.5,0.0,0.0,39.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2500,0.0,0.0,0.4,0.2,1.4,0.0,0.0,0.2,0.2,0.0,52.0,Ben Godfrey,3.1,0.0,0.0,25.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4700,0.0,0.73,0.37,0.37,0.73,3.31,3.31,1.1,1.1,0.73,28.29,Christian Atsu,0.1,0.0,0.8333333333333334,39.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3200,0.0,0.0,0.35,0.0,1.76,0.7,0.35,2.11,2.46,0.35,66.45,Morgan Schneiderlin,3.5,0.0,0.0,59.69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3600,0.0,0.0,0.31,0.0,1.23,0.31,0.61,0.92,1.23,0.92,84.47,Moritz Leitner,7.7,0.0,0.0,25.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3700,0.0,0.0,0.29,0.29,2.35,0.0,0.59,0.29,1.17,0.88,94.98,Aymeric Laporte,0.0,0.0,0.0,85.13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,0.0,0.0,0.29,0.0,0.0,0.57,1.14,1.43,2.29,1.43,58.86,Andre Gomes,0.0,0.0,0.0,59.69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2500,0.0,0.0,0.25,0.0,2.25,0.0,0.0,1.0,1.0,1.25,49.75,Shane Duffy,0.0,0.0,0.0,31.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4700,0.0,0.0,0.25,0.0,1.0,2.0,0.75,1.25,0.75,1.75,45.25,Martin Montoya,7.7,0.0,0.0,31.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4600,0.0,0.2,0.2,0.0,2.2,0.0,0.2,1.0,0.6,1.0,62.6,Lewis Dunk,7.6,0.0,0.0,31.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3700,0.0,0.0,0.2,0.0,1.6,3.6,1.0,1.4,1.2,0.8,29.2,Matthew Lowton,10.1,0.0,0.0,47.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
