Symbol,FinalSettlementPrice,EvaluationDate,FirstTradeDate,ErisPAIDate,EffectiveDate,CashFlowAlignmentDate,MaturityDate,NPV (A),FixedNPV,FloatingNPV,Coupon (%),FairCoupon (%),FixedPayment,FloatingPayment,NextFixedPaymentDate,NextFixedPaymentAmount,PreviousFixingDate,PreviousFixingRate,NextFloatingPaymentDate,NextFloatingPaymentAmount,NextFixingDate,PreviousSettlementDate,PreviousSettlementPrice,PreviousErisPAI,FedFundsDate,FedFundsRate (%),AccrualDays,DailyIncrementalErisPAI,AccruedCoupons (B),ErisPAI (C),SettlementPrice (100+A+B-C),RFQ NPV TickSize ($),Nominal,ResetRateDescriptor,InterpolationFactor,HighTradePrice,LowTradePrice,LastTradePrice,DailyContractVolume,Tag55(T),Tag65(T),Tag55(T+1),Tag65(T+1),LastTradeDate,InitialSpeculatorMargin,SecondarySpeculatorMargin,InitialHedgerMargin,SecondaryHedgerMargin,ExchangeSymbol (EX005),BloombergTicker,FirstFixingDate,Category,BenchmarkContractName,PV01,DV01,ShortName,EffectiveYearMonth,UnpaidFixedAccrualStartDate,UnpaidFixedAccrual,UnpaidFloatingAccrualStartDate,UnpaidFloatingAccrual,NetUnpaidFixedFloatingAccrual,NPV(A)lessNetUnpaidFixedFloatingAccrual,AccruedCoupons(B)plusNetUnpaidFixedFloatingAccrual
LIYM15,112.2711,09/26/2019,12/31/2014,12/31/2014,06/17/2015,06/17/2025,06/17/2025,7.5708929064,15.8779758691,-8.3070829626,2.7500000000,1.4387525422,0.0000000000,0.0000000000,12/17/2019,1.3750000000,09/13/2019,0.0213938000,12/17/2019,0.5407877222,12/13/2019,09/25/2019,112.1084,0.1439899486,09/25/2019,1.9000000000,1,0.0003909684,4.8445549722,0.1443809170,112.2710669616,"",100,2M-3M,1.0000000000,"","","","","","","","",06/16/2025,1540,1400,1400,1400,LIY,LIYM15,06/15/2015,"","",57.74,57.88,"",201506,06/17/2019,0.7562500000,09/17/2019,0.0534845000,0.7027655000,6.8681274064,5.5473204722
LIEM15,140.4184,09/26/2019,12/31/2014,12/31/2014,06/17/2015,06/17/2045,06/19/2045,34.2182408740,70.7131473370,-36.4949064630,3.2500000000,1.6773181575,0.0000000000,0.0000000000,12/17/2019,1.6250000000,09/13/2019,0.0213938000,12/17/2019,0.5407877222,12/13/2019,09/25/2019,139.4876,0.6426077548,09/25/2019,1.9000000000,1,0.0017567431,6.8445549722,0.6443644979,140.4184313483,"",100,2M-3M,1.0000000000,"","","","","","","","",06/16/2045,5280,4800,4800,4800,LIE,LIEM15,06/15/2015,"","",217.58,258.35,"",201506,06/17/2019,0.8937500000,09/17/2019,0.0534845000,0.8402655000,33.3779753740,7.6848204722
LIWU15,103.2873,09/26/2019,03/31/2015,03/31/2015,09/16/2015,09/16/2020,09/16/2020,0.3751201685,2.2241902867,-1.8490701182,2.2500000000,1.8705269018,0.0000000000,0.0000000000,03/16/2020,1.1250000000,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,103.2685,0.0253764103,09/25/2019,1.9000000000,1,0.0000188063,2.9375822778,0.0253952166,103.2873072297,"",100,2M-3M,1.0000000000,"","","","","","","","",09/15/2020,165,150,150,150,LIW,LIWU15,09/14/2015,"","",9.89,7.60,"",201509,09/16/2019,0.0625000000,09/16/2019,0.0588472222,0.0036527778,0.3714673907,2.9412350556
LIBU15,106.6187,09/26/2019,03/31/2015,03/31/2015,09/16/2015,09/16/2022,09/16/2022,2.7461784295,7.3241572932,-4.5779788637,2.5000000000,1.5626298974,0.0000000000,0.0000000000,03/16/2020,1.2500000000,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,106.5390,0.0648887216,09/25/2019,1.9000000000,1,0.0001407202,3.9375822777,0.0650294418,106.6187312654,"",100,2M-3M,1.0000000000,"","","","","","","","",09/15/2022,858,780,780,780,LIB,LIBU15,09/14/2015,"","",29.30,30.14,"",201509,09/16/2019,0.0694444444,09/16/2019,0.0588472222,0.0105972222,2.7355812073,3.9481794999
LIYU15,111.9638,09/26/2019,03/31/2015,03/31/2015,09/16/2015,09/16/2025,09/16/2025,7.1713014382,15.8290623079,-8.6577608696,2.7500000000,1.5041220970,0.0000000000,0.0000000000,03/16/2020,1.3750000000,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,111.7972,0.1447078138,09/25/2019,1.9000000000,1,0.0003696713,4.9375822778,0.1450774851,111.9638062310,"",100,2M-3M,1.0000000000,"","","","","","","","",09/15/2025,1601,1455,1455,1455,LIY,LIYU15,09/14/2015,"","",57.56,60.42,"",201509,09/16/2019,0.0763888889,09/16/2019,0.0588472222,0.0175416667,7.1537597715,4.9551239445
LIEU15,133.7990,09/26/2019,03/31/2015,03/31/2015,09/16/2015,09/16/2045,09/18/2045,28.2439302374,65.0371151851,-36.7931849477,3.0000000000,1.6971779042,0.0000000000,0.0000000000,03/16/2020,1.5000000000,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,132.8838,0.3810612886,09/25/2019,1.9000000000,1,0.0014422740,5.9375822778,0.3825035626,133.7990089526,"",100,2M-3M,1.0000000000,"","","","","","","","",09/15/2045,5280,4800,4800,4800,LIE,LIEU15,09/14/2015,"","",216.79,253.98,"",201509,09/16/2019,0.0833333333,09/16/2019,0.0588472222,0.0244861111,28.2194441263,5.9620683889
LIWZ15,101.7875,09/26/2019,06/30/2015,06/30/2015,12/16/2015,12/16/2020,12/16/2020,0.7463230154,2.9607579320,-2.2144349167,2.0000000000,1.4958567823,0.0000000000,0.0000000000,12/16/2019,0.9944444444,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,101.7600,-0.0132811614,09/25/2019,1.9000000000,1,0.0000379363,1.0279447777,-0.0132432251,101.7875110182,"",100,2M-3M,1.0000000000,"","","","","","","","",12/15/2020,275,250,250,250,LIW,LIWZ15,12/14/2015,"","",14.80,10.08,"",201512,06/17/2019,0.5500000000,09/16/2019,0.0588472222,0.4911527778,0.2551702376,1.5190975555
LIBZ15,104.6785,09/26/2019,06/30/2015,06/30/2015,12/16/2015,12/16/2022,12/16/2022,2.7793834075,7.6857524248,-4.9063690173,2.2500000000,1.4363369620,0.0000000000,0.0000000000,12/16/2019,1.1187500000,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,104.5863,0.0043446922,09/25/2019,1.9000000000,1,0.0001418117,1.9036392222,0.0044865039,104.6785361258,"",100,2M-3M,1.0000000000,"","","","","","","","",12/15/2022,924,840,840,840,LIB,LIBZ15,12/14/2015,"","",34.16,32.16,"",201512,06/17/2019,0.6187500000,09/16/2019,0.0588472222,0.5599027778,2.2194806297,2.4635420000
LIYZ15,109.3018,09/26/2019,06/30/2015,06/30/2015,12/16/2015,12/16/2025,12/16/2025,6.5731871640,15.5836942465,-9.0105070826,2.5000000000,1.4455024175,0.0000000000,0.0000000000,12/16/2019,1.2430555556,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,109.1319,0.0503800670,09/25/2019,1.9000000000,1,0.0003379353,2.7793336666,0.0507180023,109.3018028282,"",100,2M-3M,1.0000000000,"","","","","","","","",12/15/2025,1650,1500,1500,1500,LIY,LIYZ15,12/14/2015,"","",62.33,62.44,"",201512,06/17/2019,0.6875000000,09/16/2019,0.0588472222,0.6286527778,5.9445343862,3.4079864444
LIEZ15,127.2082,09/26/2019,06/30/2015,06/30/2015,12/16/2015,12/16/2045,12/18/2045,23.6707328730,60.7601744184,-37.0894415454,2.7500000000,1.6786647706,0.0000000000,0.0000000000,12/16/2019,1.3673611111,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,126.3094,0.1163175962,09/25/2019,1.9000000000,1,0.0012017849,3.6550281111,0.1175193811,127.2082416031,"",100,2M-3M,1.0000000000,"","","","","","","","",12/15/2045,5280,4800,4800,4800,LIE,LIEZ15,12/14/2015,"","",220.95,249.39,"",201512,06/17/2019,0.7562500000,09/16/2019,0.0588472222,0.6974027778,22.9733300952,4.3524308889
LIWH16,101.5535,09/26/2019,09/30/2015,09/30/2015,03/16/2016,03/16/2021,03/16/2021,0.3829558451,2.9560596745,-2.5731038294,2.0000000000,1.7409011405,0.0000000000,0.0000000000,03/16/2020,1.0000000000,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,101.5175,-0.0173464068,09/25/2019,1.9000000000,1,0.0000183058,1.1532649167,-0.0173281010,101.5535488627,"",100,2M-3M,1.0000000000,"","","","","","","","",03/15/2021,374,340,340,340,LIW,LIWH16,03/14/2016,"","",14.78,12.53,"",201603,09/16/2019,0.0555555556,09/16/2019,0.0588472222,-0.0032916667,0.3862475118,1.1499732500
LIBH16,104.4619,09/26/2019,09/30/2015,09/30/2015,03/16/2016,03/16/2023,03/16/2023,2.4361869555,7.6679280923,-5.2317411368,2.2500000000,1.5351497062,0.0000000000,0.0000000000,03/16/2020,1.1250000000,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,104.3596,0.0024598198,09/25/2019,1.9000000000,1,0.0001231717,2.0282649166,0.0025829915,104.4618688806,"",100,2M-3M,1.0000000000,"","","","","","","","",03/15/2023,1012,920,920,920,LIB,LIBH16,03/14/2016,"","",34.08,34.56,"",201603,09/16/2019,0.0625000000,09/16/2019,0.0588472222,0.0036527778,2.4325341777,2.0319176944
LIYH16,109.0346,09/26/2019,09/30/2015,09/30/2015,03/16/2016,03/16/2026,03/16/2026,6.1806983570,15.5419174531,-9.3612190961,2.5000000000,1.5058018298,0.0000000000,0.0000000000,03/16/2020,1.2500000000,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,108.8598,0.0490315553,09/25/2019,1.9000000000,1,0.0003169620,2.9032649165,0.0493485173,109.0346147562,"",100,2M-3M,1.0000000000,"","","","","","","","",03/13/2026,1705,1550,1550,1550,LIY,LIYH16,03/14/2016,"","",62.17,64.88,"",201603,09/16/2019,0.0694444444,09/16/2019,0.0588472222,0.0105972222,6.1701011348,2.9138621387
LIEH16,126.8191,09/26/2019,09/30/2015,09/30/2015,03/16/2016,03/16/2046,03/16/2046,23.1603275714,60.5348346223,-37.3745070509,2.7500000000,1.6978636356,0.0000000000,0.0000000000,03/16/2020,1.3750000000,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,125.9121,0.1182707985,09/25/2019,1.9000000000,1,0.0011744169,3.7782649166,0.1194452154,126.8191472726,"",100,2M-3M,1.0000000000,"","","","","","","","",03/15/2046,5280,4800,4800,4800,LIE,LIEH16,03/14/2016,"","",220.13,251.49,"",201603,09/16/2019,0.0763888889,09/16/2019,0.0588472222,0.0175416667,23.1427859047,3.7958065833
LIWM16,101.3767,09/26/2019,12/31/2015,12/31/2015,06/15/2016,06/15/2021,06/15/2021,1.0182000621,3.9314790751,-2.9132790131,2.0000000000,1.4820269712,0.0000000000,0.0000000000,12/16/2019,0.9944444444,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,101.3331,-0.0248183589,09/25/2019,1.9000000000,1,0.0000514330,0.3337272776,-0.0247669259,101.3766942656,"",100,2M-3M,1.0000000000,"","","","","","","","",06/14/2021,451,410,410,410,LIW,LIWM16,06/13/2016,"","",19.66,14.99,"",201606,06/17/2019,0.5500000000,09/16/2019,0.0588472222,0.4911527778,0.5270472843,0.8248800554
LIBM16,102.6178,09/26/2019,12/31/2015,12/31/2015,06/15/2016,06/15/2023,06/15/2023,2.2185141369,7.7802548882,-5.5617407513,2.0000000000,1.4297065665,0.0000000000,0.0000000000,12/16/2019,0.9944444444,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,102.5080,-0.0657112679,09/25/2019,1.9000000000,1,0.0001112833,0.3337272776,-0.0655999846,102.6178413991,"",100,2M-3M,1.0000000000,"","","","","","","","",06/14/2023,1034,940,940,940,LIB,LIBM16,06/13/2016,"","",38.90,36.97,"",201606,06/17/2019,0.5500000000,09/16/2019,0.0588472222,0.4911527778,1.7273613591,0.8248800554
LIYM16,106.4732,09/26/2019,12/31/2015,12/31/2015,06/15/2016,06/15/2026,06/15/2026,5.3364054976,15.0528303690,-9.7164248714,2.2500000000,1.4523485235,0.0000000000,0.0000000000,12/16/2019,1.1187500000,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,106.2934,-0.0519019929,09/25/2019,1.9000000000,1,0.0002721416,1.0851161665,-0.0516298513,106.4731515154,"",100,2M-3M,1.0000000000,"","","","","","","","",06/12/2026,1749,1590,1590,1590,LIY,LIYM16,06/13/2016,"","",66.90,66.77,"",201606,06/17/2019,0.6187500000,09/16/2019,0.0588472222,0.5599027778,4.7765027198,1.6450189443
LIEM16,120.3771,09/26/2019,12/31/2015,12/31/2015,06/15/2016,06/15/2046,06/15/2046,18.3952653868,56.0627776380,-37.6675122512,2.5000000000,1.6797023729,0.0000000000,0.0000000000,12/16/2019,1.2430555556,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,119.4876,-0.1462979051,09/25/2019,1.9000000000,1,0.0009238657,1.8365050553,-0.1453740394,120.3771444814,"",100,2M-3M,1.0000000000,"","","","","","","","",06/14/2046,5280,4800,4800,4800,LIE,LIEM16,06/13/2016,"","",224.25,246.54,"",201606,06/17/2019,0.6875000000,09/16/2019,0.0588472222,0.6286527778,17.7666126090,2.4651578331
LIDH16,101.1126,09/26/2019,01/08/2016,01/08/2016,03/16/2016,03/16/2020,03/16/2020,-0.0391330559,0.9920180739,-1.0311511297,2.0000000000,2.0788958526,0.0000000000,0.0000000000,03/16/2020,1.0000000000,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,101.1077,0.0015787753,09/25/2019,1.9000000000,1,-0.0000023233,1.1532649167,0.0015764520,101.1125554088,"",100,2M-3M,1.0000000000,"","","","","","","","",03/13/2020,110,100,100,100,LID,LIDH16,03/14/2016,"","",4.96,2.52,"",201603,09/16/2019,0.0555555556,09/16/2019,0.0588472222,-0.0032916667,-0.0358413892,1.1499732500
LIDM16,99.8900,09/26/2019,01/08/2016,01/08/2016,06/15/2016,06/15/2020,06/15/2020,0.2747319535,1.7267001835,-1.4519682300,1.7500000000,1.4715608574,0.0000000000,0.0000000000,12/16/2019,0.8701388889,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,99.8788,-0.0329053032,09/25/2019,1.9000000000,1,0.0000139108,-0.4176616113,-0.0328913924,99.8899617345,"",100,2M-3M,1.0000000000,"","","","","","","","",06/12/2020,176,160,160,160,LID,LIDM16,06/13/2016,"","",9.87,5.02,"",201606,06/17/2019,0.4812500000,09/16/2019,0.0588472222,0.4224027778,-0.1476708243,0.0047411665
LIIH16,113.5036,09/26/2019,01/08/2016,01/08/2016,03/16/2016,03/16/2028,03/16/2028,9.8641745367,22.0778075242,-12.2136329874,2.7500000000,1.5213236495,0.0000000000,0.0000000000,03/16/2020,1.3750000000,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,113.2322,0.1383351811,09/25/2019,1.9000000000,1,0.0005062610,3.7782649166,0.1388414421,113.5035980112,"",100,2M-3M,1.0000000000,"","","","","","","","",03/15/2028,2750,2500,2500,2500,LII,LIIH16,03/14/2016,"","",80.28,85.36,"",201603,09/16/2019,0.0763888889,09/16/2019,0.0588472222,0.0175416667,9.8466328700,3.7958065833
LIIM16,110.4778,09/26/2019,01/08/2016,01/08/2016,06/15/2016,06/15/2028,06/15/2028,8.6610683167,21.2382371244,-12.5771688077,2.5000000000,1.4804864375,0.0000000000,0.0000000000,12/16/2019,1.2430555556,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,110.1945,0.0193267668,09/25/2019,1.9000000000,1,0.0004421353,1.8365050553,0.0197689021,110.4778044699,"",100,2M-3M,1.0000000000,"","","","","","","","",06/14/2028,2750,2500,2500,2500,LII,LIIM16,06/13/2016,"","",84.95,86.89,"",201606,06/17/2019,0.6875000000,09/16/2019,0.0588472222,0.6286527778,8.0324155389,2.4651578331
LILH16,116.2219,09/26/2019,01/08/2016,01/08/2016,03/16/2016,03/16/2031,03/17/2031,12.5709979935,29.2830402339,-16.7120422405,2.7500000000,1.5694448320,0.0000000000,0.0000000000,03/16/2020,1.3750000000,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,115.7906,0.1266935743,09/25/2019,1.9000000000,1,0.0006406694,3.7782649166,0.1273342437,116.2219286664,"",100,2M-3M,1.0000000000,"","","","","","","","",03/14/2031,3300,3000,3000,3000,LIL,LILH16,03/14/2016,"","",106.48,114.73,"",201603,09/16/2019,0.0763888889,09/16/2019,0.0588472222,0.0175416667,12.5534563268,3.7958065833
LILM16,112.5262,09/26/2019,01/08/2016,01/08/2016,06/15/2016,06/15/2031,06/16/2031,10.6687596186,27.7632698022,-17.0945101836,2.5000000000,1.5393098783,0.0000000000,0.0000000000,12/16/2019,1.2430555556,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,112.0903,-0.0215085583,09/25/2019,1.9000000000,1,0.0005400374,1.8365050553,-0.0209685209,112.5262331948,"",100,2M-3M,1.0000000000,"","","","","","","","",06/13/2031,3300,3000,3000,3000,LIL,LILM16,06/13/2016,"","",111.05,115.52,"",201606,06/17/2019,0.6875000000,09/16/2019,0.0588472222,0.6286527778,10.0401068408,2.4651578331
LIOH16,120.0320,09/26/2019,01/08/2016,01/08/2016,03/16/2016,03/16/2036,03/17/2036,16.3649954371,40.5446971616,-24.1797017245,2.7500000000,1.6400216156,0.0000000000,0.0000000000,03/16/2020,1.3750000000,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,119.4051,0.1103881185,09/25/2019,1.9000000000,1,0.0008305783,3.7782649166,0.1112186968,120.0320416569,"",100,2M-3M,1.0000000000,"","","","","","","","",03/14/2036,3960,3600,3600,3600,LIO,LIOH16,03/14/2016,"","",147.44,162.10,"",201603,09/16/2019,0.0763888889,09/16/2019,0.0588472222,0.0175416667,16.3474537704,3.7958065833
LIOM16,115.3346,09/26/2019,01/08/2016,01/08/2016,06/15/2016,06/15/2036,06/16/2036,13.4177971554,37.9605555781,-24.5427584227,2.5000000000,1.6163329309,0.0000000000,0.0000000000,12/16/2019,1.2430555556,09/12/2019,0.0211850000,12/16/2019,0.5355097222,12/12/2019,09/25/2019,114.7094,-0.0809747310,09/25/2019,1.9000000000,1,0.0006751282,1.8365050553,-0.0802996028,115.3346018135,"",100,2M-3M,1.0000000000,"","","","","","","","",06/13/2036,3960,3600,3600,3600,LIO,LIOM16,06/13/2016,"","",151.84,161.30,"",201606,06/17/2019,0.6875000000,09/16/2019,0.0588472222,0.6286527778,12.7891443776,2.4651578331
LIDM17,97.3817,09/26/2019,12/30/2016,12/30/2016,06/21/2017,06/21/2021,06/21/2021,-0.4414893554,2.4635298487,-2.9050192040,1.2500000000,1.4740125869,0.0000000000,0.0000000000,12/23/2019,0.6319444444,09/19/2019,0.0215888000,12/23/2019,0.5457168889,12/19/2019,09/25/2019,97.3380,-0.1425271637,09/25/2019,1.9000000000,1,-0.0000256041,-2.3194014723,-0.1425527678,97.3816619401,"",100,2M-3M,1.0000000000,"","","","","","","","",06/18/2021,495,450,450,450,LID,LIDM17,06/19/2017,"","",19.71,14.89,"",201706,06/21/2019,0.3298611111,09/23/2019,0.0179906667,0.3118704444,-0.7533597998,-2.0075310279
LIIZ17,112.1176,09/26/2019,06/19/2017,06/19/2017,12/20/2017,12/20/2029,12/20/2029,12.1934187700,26.9998454781,-14.8064267081,2.7500000000,1.5080706103,0.0000000000,0.0000000000,12/20/2019,1.3750000000,09/18/2019,0.0215588000,12/20/2019,0.5449585556,12/18/2019,09/25/2019,111.7403,0.0654874853,09/25/2019,1.9000000000,1,0.0006235975,-0.0096947222,0.0661110828,112.1176129650,"",100,2M-3M,1.0000000000,"","","","","","","","",12/19/2029,2750,2500,2500,2500,LII,LIIZ17,12/18/2017,"","",98.18,102.60,"",201712,06/20/2019,0.7333333333,09/20/2019,0.0359313333,0.6974020000,11.4960167700,0.6877072778
LILZ17,114.5632,09/26/2019,06/19/2017,06/19/2017,12/20/2017,12/20/2032,12/20/2032,14.6254601699,34.0019045954,-19.3764444256,2.7500000000,1.5671246303,0.0000000000,0.0000000000,12/20/2019,1.3750000000,09/18/2019,0.0215588000,12/20/2019,0.5449585556,12/18/2019,09/25/2019,114.0626,0.0518317141,09/25/2019,1.9000000000,1,0.0007454396,-0.0096947222,0.0525771537,114.5631882940,"",100,2M-3M,1.0000000000,"","","","","","","","",12/17/2032,3300,3000,3000,3000,LIL,LILZ17,12/18/2017,"","",123.64,131.55,"",201712,06/20/2019,0.7333333333,09/20/2019,0.0359313333,0.6974020000,13.9280581699,0.6877072778
LIOZ17,118.1986,09/26/2019,06/19/2017,06/19/2017,12/20/2017,12/20/2037,12/21/2037,18.2454681286,44.9555302005,-26.7100620719,2.7500000000,1.6338962163,0.0000000000,0.0000000000,12/20/2019,1.3750000000,09/18/2019,0.0215588000,12/20/2019,0.5449585556,12/18/2019,09/25/2019,117.5161,0.0362281165,09/25/2019,1.9000000000,1,0.0009268826,-0.0096947222,0.0371549991,118.1986184072,"",100,2M-3M,1.0000000000,"","","","","","","","",12/18/2037,3960,3600,3600,3600,LIO,LIOZ17,12/18/2017,"","",163.47,178.22,"",201712,06/20/2019,0.7333333333,09/20/2019,0.0359313333,0.6974020000,17.5480661286,0.6877072778
LIIH18,106.6277,09/26/2019,09/18/2017,09/18/2017,03/21/2018,03/21/2030,03/21/2030,6.8373251897,22.0043583329,-15.1670331432,2.2500000000,1.5508666081,0.0000000000,0.0000000000,03/23/2020,1.1250000000,09/19/2019,0.0215888000,12/23/2019,0.5457168889,12/19/2019,09/25/2019,106.2451,-0.1497597293,09/25/2019,1.9000000000,1,0.0003406443,-0.3590155001,-0.1494190850,106.6277287746,"",100,2M-3M,1.0000000000,"","","","","","","","",03/20/2030,2750,2500,2500,2500,LII,LIIH18,03/19/2018,"","",97.80,102.32,"",201803,09/23/2019,0.0187500000,09/23/2019,0.0179906667,0.0007593333,6.8365658564,-0.3582561668
LILH18,107.8247,09/26/2019,09/18/2017,09/18/2017,03/21/2018,03/21/2033,03/21/2033,7.9776912913,27.7103901115,-19.7326988202,2.2500000000,1.6022355574,0.0000000000,0.0000000000,03/23/2020,1.1250000000,09/19/2019,0.0215888000,12/23/2019,0.5457168889,12/19/2019,09/25/2019,107.3268,-0.2064423297,09/25/2019,1.9000000000,1,0.0003947422,-0.3590155001,-0.2060475875,107.8247233787,"",100,2M-3M,1.0000000000,"","","","","","","","",03/18/2033,3300,3000,3000,3000,LIL,LILH18,03/19/2018,"","",123.16,129.64,"",201803,09/23/2019,0.0187500000,09/23/2019,0.0179906667,0.0007593333,7.9769319580,-0.3582561668
LIOH18,113.8090,09/26/2019,09/18/2017,09/18/2017,03/21/2018,03/21/2038,03/22/2038,13.6598387097,40.7067762466,-27.0469375368,2.5000000000,1.6610832416,0.0000000000,0.0000000000,03/23/2020,1.2500000000,09/19/2019,0.0215888000,12/23/2019,0.5457168889,12/19/2019,09/25/2019,113.1317,-0.1324460099,09/25/2019,1.9000000000,1,0.0006851533,0.0173733888,-0.1317608566,113.8089729551,"",100,2M-3M,1.0000000000,"","","","","","","","",03/19/2038,3960,3600,3600,3600,LIO,LIOH18,03/19/2018,"","",162.83,176.70,"",201803,09/23/2019,0.0208333333,09/23/2019,0.0179906667,0.0028426667,13.6569960430,0.0202160555
LIIM18,106.7357,09/26/2019,12/18/2017,12/18/2017,06/20/2018,06/20/2030,06/20/2030,7.5011403099,23.0646568756,-15.5635165657,2.2500000000,1.5182498687,0.0000000000,0.0000000000,12/20/2019,1.1250000000,09/18/2019,0.0215588000,12/20/2019,0.5449585556,12/18/2019,09/25/2019,106.3419,-0.1506324283,09/25/2019,1.9000000000,1,0.0003750850,-0.9156552778,-0.1502573433,106.7357423754,"",100,2M-3M,1.0000000000,"","","","","","","","",06/19/2030,2750,2500,2500,2500,LII,LIIM18,06/18/2018,"","",102.51,104.71,"",201806,06/20/2019,0.6000000000,09/20/2019,0.0359313333,0.5640686667,6.9370716432,-0.3515866111
LILM18,107.9141,09/26/2019,12/18/2017,12/18/2017,06/20/2018,06/20/2033,06/20/2033,8.6270649672,28.7482413342,-20.1211763670,2.2500000000,1.5747970910,0.0000000000,0.0000000000,12/20/2019,1.1250000000,09/18/2019,0.0215588000,12/20/2019,0.5449585556,12/18/2019,09/25/2019,107.4062,-0.2031303432,09/25/2019,1.9000000000,1,0.0004284869,-0.9156552778,-0.2027018563,107.9141115457,"",100,2M-3M,1.0000000000,"","","","","","","","",06/17/2033,3300,3000,3000,3000,LIL,LILM18,06/18/2018,"","",127.77,131.95,"",201806,06/20/2019,0.6000000000,09/20/2019,0.0359313333,0.5640686667,8.0629963005,-0.3515866111
LIOM18,113.8727,09/26/2019,12/18/2017,12/18/2017,06/20/2018,06/20/2038,06/21/2038,14.4050228833,41.8204014565,-27.4153785732,2.5000000000,1.6388758607,0.0000000000,0.0000000000,12/20/2019,1.2500000000,09/18/2019,0.0215588000,12/20/2019,0.5449585556,12/18/2019,09/25/2019,113.1886,-0.1340492694,09/25/2019,1.9000000000,1,0.0007241218,-0.6656552778,-0.1333251476,113.8726927531,"",100,2M-3M,1.0000000000,"","","","","","","","",06/18/2038,3960,3600,3600,3600,LIO,LIOM18,06/18/2018,"","",167.28,178.96,"",201806,06/20/2019,0.6666666667,09/20/2019,0.0359313333,0.6307353333,13.7742875500,-0.0349199445
LIIU18,109.5570,09/26/2019,03/19/2018,03/19/2018,09/19/2018,09/19/2030,09/19/2030,9.5898909665,25.5426847139,-15.9527937474,2.5000000000,1.5613857672,0.0000000000,0.0000000000,03/19/2020,1.2500000000,09/17/2019,0.0216413000,12/19/2019,0.5470439722,12/17/2019,09/25/2019,109.1489,-0.0486654414,09/25/2019,1.9000000000,1,0.0004845669,-0.0810498611,-0.0481808745,109.5570219800,"",100,2M-3M,1.0000000000,"","","","","","","","",09/18/2030,2750,2500,2500,2500,LII,LIIU18,09/17/2018,"","",102.17,108.45,"",201809,09/19/2019,0.0486111111,09/19/2019,0.0420803056,0.0065308056,9.5833601609,-0.0745190555
LILU18,111.3285,09/26/2019,03/19/2018,03/19/2018,09/19/2018,09/19/2033,09/19/2033,11.3332445553,31.8330015439,-20.4997569886,2.5000000000,1.6099453393,0.0000000000,0.0000000000,03/19/2020,1.2500000000,09/17/2019,0.0216413000,12/19/2019,0.5470439722,12/17/2019,09/25/2019,110.8038,-0.0769090299,09/25/2019,1.9000000000,1,0.0005704168,-0.0810498611,-0.0763386131,111.3285333073,"",100,2M-3M,1.0000000000,"","","","","","","","",09/16/2033,3300,3000,3000,3000,LIL,LILU18,09/17/2018,"","",127.33,136.41,"",201809,09/19/2019,0.0486111111,09/19/2019,0.0420803056,0.0065308056,11.3267137497,-0.0745190555
