Symbol,FinalSettlementPrice,EvaluationDate,FirstTradeDate,ErisPAIDate,EffectiveDate,CashFlowAlignmentDate,MaturityDate,NPV (A),FixedNPV,FloatingNPV,Coupon (%),FairCoupon (%),FixedPayment,FloatingPayment,NextFixedPaymentDate,NextFixedPaymentAmount,PreviousFixingDate,PreviousFixingRate,NextFloatingPaymentDate,NextFloatingPaymentAmount,NextFixingDate,PreviousSettlementDate,PreviousSettlementPrice,PreviousErisPAI,FedFundsDate,FedFundsRate (%),AccrualDays,DailyIncrementalErisPAI,AccruedCoupons (B),ErisPAI (C),SettlementPrice (100+A+B-C),RFQ NPV TickSize ($),Nominal,ResetRateDescriptor,InterpolationFactor,HighTradePrice,LowTradePrice,LastTradePrice,DailyContractVolume,Tag55(T),Tag65(T),Tag55(T+1),Tag65(T+1),LastTradeDate,InitialSpeculatorMargin,SecondarySpeculatorMargin,InitialHedgerMargin,SecondaryHedgerMargin,ExchangeSymbol (EX005),BloombergTicker,FirstFixingDate,Category,BenchmarkContractName,PV01,DV01,ShortName,EffectiveYearMonth,UnpaidFixedAccrualStartDate,UnpaidFixedAccrual,UnpaidFloatingAccrualStartDate,UnpaidFloatingAccrual,NetUnpaidFixedFloatingAccrual,NPV(A)lessNetUnpaidFixedFloatingAccrual,AccruedCoupons(B)plusNetUnpaidFixedFloatingAccrual
LIBZ13,108.6480,09/26/2019,09/13/2013,09/13/2013,12/18/2013,12/18/2020,12/18/2020,1.4899524577,3.7075698557,-2.2176173980,2.5000000000,1.4953308261,0.0000000000,0.0000000000,12/18/2019,1.2500000000,09/16/2019,0.0214513000,12/18/2019,0.5422411944,12/16/2019,09/25/2019,108.6203,0.0617620653,09/25/2019,1.9000000000,1,0.0000771705,7.2198684723,0.0618392358,108.6479816942,"",100,2M-3M,1.0000000000,"","","","","","","","",12/17/2020,341,310,310,310,LIB,LIBZ13,12/16/2013,"","",14.83,10.13,"",201312,06/18/2019,0.6805555556,09/18/2019,0.0476695556,0.6328860000,0.8570664577,7.8527544723
LIBH14,106.6096,09/26/2019,11/29/2013,11/29/2013,03/19/2014,03/19/2021,03/19/2021,0.7465988586,3.3251979696,-2.5785991110,2.2500000000,1.7448128060,0.0000000000,0.0000000000,03/19/2020,1.1250000000,09/17/2019,0.0216413000,12/19/2019,0.5470439722,12/17/2019,09/25/2019,106.5733,0.0243010645,09/25/2019,1.9000000000,1,0.0000374823,5.8873644168,0.0243385468,106.6096247286,"",100,2M-3M,1.0000000000,"","","","","","","","",03/18/2021,418,380,380,380,LIB,LIBH14,03/17/2014,"","",14.78,12.55,"",201403,09/19/2019,0.0437500000,09/19/2019,0.0420803056,0.0016696944,0.7449291642,5.8890341112
LIYH14,116.2824,09/26/2019,11/29/2013,11/29/2013,03/19/2014,03/19/2024,03/19/2024,6.4874270051,13.0665226194,-6.5790956143,3.0000000000,1.5105232982,0.0000000000,0.0000000000,03/19/2020,1.5000000000,09/17/2019,0.0216413000,12/19/2019,0.5470439722,12/17/2019,09/25/2019,116.1498,0.2170471173,09/25/2019,1.9000000000,1,0.0003353770,10.0123644167,0.2173824943,116.2824089275,"",100,2M-3M,1.0000000000,"","","","","","","","",03/18/2024,1238,1125,1125,1125,LIY,LIYH14,03/17/2014,"","",43.56,45.64,"",201403,09/19/2019,0.0583333333,09/19/2019,0.0420803056,0.0162530278,6.4711739773,10.0286174445
LIEH14,155.4483,09/26/2019,11/29/2013,11/29/2013,03/19/2014,03/19/2044,03/21/2044,42.4561378567,77.4340150048,-34.9778771481,3.7500000000,1.6939201628,0.0000000000,0.0000000000,03/19/2020,1.8750000000,09/17/2019,0.0216413000,12/19/2019,0.5470439722,12/17/2019,09/25/2019,154.5158,1.1430105338,09/25/2019,1.9000000000,1,0.0021914092,14.1373644168,1.1452019430,155.4483003305,"",100,2M-3M,1.0000000000,"","","","","","","","",03/18/2044,5280,4800,4800,4800,LIE,LIEH14,03/17/2014,"","",206.49,258.52,"",201403,09/19/2019,0.0729166667,09/19/2019,0.0420803056,0.0308363611,42.4253014956,14.1682007779
LIBM14,109.7353,09/26/2019,12/31/2013,12/31/2013,06/18/2014,06/18/2021,06/18/2021,2.5006979114,5.4203932309,-2.9196953195,2.7500000000,1.4812877566,0.0000000000,0.0000000000,12/18/2019,1.3750000000,09/16/2019,0.0214513000,12/18/2019,0.5422411944,12/16/2019,09/25/2019,109.6914,0.1058168818,09/25/2019,1.9000000000,1,0.0001296570,7.3405981945,0.1059465388,109.7353495671,"",100,2M-3M,1.0000000000,"","","","","","","","",06/17/2021,501,455,455,455,LIB,LIBM14,06/16/2014,"","",19.71,15.19,"",201406,06/18/2019,0.7486111111,09/18/2019,0.0476695556,0.7009415556,1.7997563558,8.0415397501
LIYM14,118.3527,09/26/2019,12/31/2013,12/31/2013,06/18/2014,06/18/2024,06/18/2024,8.8098661074,15.7309059163,-6.9210398089,3.2500000000,1.4298845533,0.0000000000,0.0000000000,12/18/2019,1.6250000000,09/16/2019,0.0214513000,12/18/2019,0.5422411944,12/16/2019,09/25/2019,118.2118,0.2972605631,09/25/2019,1.9000000000,1,0.0004575021,9.8405981945,0.2977180652,118.3527462368,"",100,2M-3M,1.0000000000,"","","","","","","","",06/17/2024,1304,1185,1185,1185,LIY,LIYM14,06/16/2014,"","",48.40,48.47,"",201406,06/18/2019,0.8847222222,09/18/2019,0.0476695556,0.8370526667,7.9728134407,10.6776508612
LIEM14,161.1848,09/26/2019,12/31/2013,12/31/2013,06/18/2014,06/18/2044,06/20/2044,49.0039071782,84.2883959953,-35.2844888172,4.0000000000,1.6744648371,0.0000000000,0.0000000000,12/18/2019,2.0000000000,09/16/2019,0.0214513000,12/18/2019,0.5422411944,12/16/2019,09/25/2019,160.2208,1.4071544520,09/25/2019,1.9000000000,1,0.0025353073,13.5905981945,1.4096897593,161.1848156134,"",100,2M-3M,1.0000000000,"","","","","","","","",06/17/2044,5280,4800,4800,4800,LIE,LIEM14,06/16/2014,"","",210.72,267.38,"",201406,06/18/2019,1.0888888889,09/18/2019,0.0476695556,1.0412193333,47.9626878449,14.6318175278
LIBU14,109.4396,09/26/2019,03/31/2014,03/31/2014,09/17/2014,09/17/2021,09/17/2021,2.1452380884,5.4026573422,-3.2574192538,2.7500000000,1.6580549868,0.0000000000,0.0000000000,03/17/2020,1.3750000000,09/13/2019,0.0213938000,12/17/2019,0.5407877222,12/13/2019,09/25/2019,109.3935,0.1109167426,09/25/2019,1.9000000000,1,0.0001107789,7.4054371945,0.1110275215,109.4396477614,"",100,2M-3M,1.0000000000,"","","","","","","","",09/16/2021,567,515,515,515,LIB,LIBU14,09/15/2014,"","",19.65,19.62,"",201409,09/17/2019,0.0687500000,09/17/2019,0.0534845000,0.0152655000,2.1299725884,7.4207026945
LIYU14,118.0135,09/26/2019,03/31/2014,03/31/2014,09/17/2014,09/17/2024,09/17/2024,8.4142991722,15.6825843125,-7.2682851403,3.2500000000,1.5062521735,0.0000000000,0.0000000000,03/17/2020,1.6250000000,09/13/2019,0.0213938000,12/17/2019,0.5407877222,12/13/2019,09/25/2019,117.8653,0.3057833698,09/25/2019,1.9000000000,1,0.0004362399,9.9054371946,0.3062196097,118.0135167570,"",100,2M-3M,1.0000000000,"","","","","","","","",09/16/2024,1364,1240,1240,1240,LIY,LIYU14,09/15/2014,"","",48.25,51.02,"",201409,09/17/2019,0.0812500000,09/17/2019,0.0534845000,0.0277655000,8.3865336722,9.9332026946
LIEU14,160.6259,09/26/2019,03/31/2014,03/31/2014,09/17/2014,09/17/2044,09/19/2044,48.3906389042,83.9832489131,-35.5926100089,4.0000000000,1.6952242486,0.0000000000,0.0000000000,03/17/2020,2.0000000000,09/13/2019,0.0213938000,12/17/2019,0.5407877222,12/13/2019,09/25/2019,159.6525,1.4176854161,09/25/2019,1.9000000000,1,0.0025024474,13.6554371945,1.4201878635,160.6258882352,"",100,2M-3M,1.0000000000,"","","","","","","","",09/16/2044,5280,4800,4800,4800,LIE,LIEU14,09/15/2014,"","",209.96,270.12,"",201409,09/17/2019,0.1000000000,09/17/2019,0.0534845000,0.0465155000,48.3441234042,13.7019526945
