,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Leicester City,Norwich City,H,79.07,13.60,44.04,2.49,0.84,3.33
Chelsea,AFC Bournemouth,H,76.74,14.62,42.99,2.42,0.88,3.30
Sheffield United,Aston Villa,H,50.69,25.61,30.98,1.74,1.20,2.94
Southampton,West Ham United,H,49.55,24.89,27.30,1.80,1.32,3.11
Burnley,Newcastle United,H,46.28,28.75,37.39,1.44,1.01,2.46
West Ham United,Southampton,A,25.56,24.89,15.48,1.32,1.80,3.11
Newcastle United,Burnley,A,24.97,28.75,23.78,1.01,1.44,2.46
Aston Villa,Sheffield United,A,23.69,25.61,16.65,1.20,1.74,2.94
AFC Bournemouth,Chelsea,A,8.64,14.62,6.27,0.88,2.42,3.30
Norwich City,Leicester City,A,7.32,13.60,5.83,0.84,2.49,3.33
